PSRJ,RA,Dec,l,b,Period,Pdot,Edot,DM,DIST,TS,Edot/D2
J1710+4923,257.2741333333333,23.224402777777776,44.52198360337892,32.209119573781756,0.0032202283985644457,1.8210530355839054e-20,2.152892297512748e+34,7.08493,0.506,0.27096474322024733,8.408553084381681e+34
J1713+7810,257.51849541666667,49.386520555555556,75.92935478225353,36.44891246802885,0.43252593524,1.14e-16,5.561963396770785e+31,36.977,4.58,2.5029294192790985e-08,2.651533817418997e+30
J1715+46,258.3627916666666,78.17610833333333,110.30540339608078,31.461370123377538,0.5481,0.0,0.0,19.82,1.754,0.5392933598486707,0.0
J1717+03,258.94999999999993,46.05,71.86067733126501,35.35384534014796,3.901,0.0,0.0,25.6,1.238,-2.9177404940128326e-05,0.0
J1720+00,259.4833333333333,3.183333333333333,24.78414676149726,22.20324182702869,3.357,0.0,0.0,46.2,2.555,-4.656612873077393e-10,0.0
J1720+2150,260.22916666666663,0.6666666666666666,22.79061873806137,20.348851730420442,1.61566378034,7.4e-16,6.926893157382875e+30,40.719,5.583,0.6890304621774703,2.2223027991478813e+29
J1722+35,260.00541666666663,21.836888888888886,43.95687099989521,29.37123595474334,0.8216,0.0,0.0,23.83,2.196,-2.3283064365386963e-10,0.0
J1735+6320,260.525,35.3,59.217625207597926,32.650770509227,0.510718135408,3.226e-16,9.560492397594193e+31,41.853,25.0,1.3041129661723971,1.529678783615071e+29
J1740+1311,263.77734166666664,63.33335,92.7208996915694,32.55191863830731,0.803050264794404,1.4513198181551138e-15,1.10635543458079e+32,48.66823,4.176,2.775453696027398,6.344153662352594e+30
J1740+27,265.03060625,13.199080555555556,37.08464181051198,21.67928280515081,1.0582,0.0,0.0,35.46,3.507,8.339423449593596,0.0
J1741+2758,265.125,27.216666666666665,51.43888862059022,26.719841023220187,1.3607376877,1.841e-15,2.8846311237052574e+31,29.14487,2.523,4.614278712309897,4.5316439901621013e+30
J1741+3855,265.47295833333334,27.969166666666666,52.346862055892345,26.662587293664636,0.82886088996,2.06e-16,1.4281769307263955e+31,47.224,25.0,2.4038932756520808,2.2850830891622327e+28
J1745+1252,265.30142083333334,38.91941666666666,64.29273938826343,29.69285320221351,1.0598487584,5.63e-16,1.8669661569259756e+31,66.141,11.167,2.561137080192566e-08,1.4971434449769847e+29
J1745+42,266.43412499999994,12.877305555555557,37.37475229618008,20.30095902610515,0.3051,0.0,0.0,38.0,5.642,10.28729382622987,0.0
J1746+2245,266.44999999999993,42.88333333333333,68.962471909767,29.63859927442471,3.46503778264,4.919e-15,4.6678042572093366e+30,49.8543,6.831,19.76801870984491,1.00033177716271e+29
J1746+2540,266.5035,22.758027777777777,47.25218184172488,24.048224167899207,1.0581481703,1.047e-15,3.488726808004254e+31,51.2044,25.0,4.661782389041036,5.581962892806806e+28
J1749+16,266.5286249999999,25.677083333333336,50.27381884730444,25.031410557043287,2.31165,0.0,0.0,59.6,7.382,0.719369173515588,0.0
J1749+5952,267.3708333333333,16.4,41.20760355753249,20.900264848044543,0.436040950719,1.519e-16,7.233286661808176e+31,45.0694,25.0,2.5029294192790985e-07,1.1573258658893082e+29
J1752+2359,267.3884499999999,59.87670277777778,88.62079616676554,30.90037215303779,0.409050865044,6.427e-16,3.707115270366534e+32,36.19635,3.03,2.0954757928848267e-09,4.0378560602626476e+31
J1754+5201,268.14758333333333,23.996722222222225,49.098279468780866,23.074426788437798,2.3913967948556385,1.5641431432132362e-15,4.5152448235256695e+30,35.0096,6.249954562686002,-0.00028662686236202717,1.155919481761942e+29
J1756+1822,268.5954449999999,52.020067777777776,79.60818312025309,29.627761085484014,0.7440009397588363,5.131291682816033e-16,4.918877270652626e+31,70.8,25.0,-2.3283064365386963e-10,7.870203633044201e+28
J1758+3030,269.0732625,18.38202777777778,43.83572015713529,20.1853071777203,0.94725581104,7.2e-16,3.344185801178131e+31,35.0674,3.279,0.0,3.1103378492837935e+30
J1800+5034,269.60783333333325,30.506666666666668,56.2645704592004,24.031844423948918,0.5783751011451423,1.1708121516862878e-16,2.389011237545932e+31,22.71,1.937,3.551022289786488,6.367353348457655e+30
J1813+4013,270.18487416666665,50.57271227777778,78.12963987043928,28.439816097154868,0.9310890849358342,2.548713023601703e-15,1.2465421507948738e+32,41.55656,4.917,12.852570687653497,5.155924531046463e+30
J1815+5546,273.3053295833333,40.227509500000004,67.40820830636626,24.033299997604406,0.4268438270611147,9.474173940409295e-17,4.809435173423882e+31,58.999,25.0,3.2750349410343915,7.695096277478212e+28
J1821+4147,273.7739091666666,55.77314175,84.31593447363512,27.133376720904636,1.2618572091336433,1.7292200072394062e-15,3.397655551515847e+31,40.673,4.444,3.033622895134613,1.7204071871882633e+30
J1833-6023,275.46809916666666,41.784042916666664,69.53714626852181,22.905160823850988,1.8894355004,2.7e-16,1.5802554174219007e+30,35.0,1.336,3.266613930463791e-07,8.85348735961031e+29
J1840+5640,278.31166666666667,-60.38444444444444,334.82680768339685,-21.194882727428336,1.6528618528869268,1.4948177550077175e-15,1.3068878331899862e+31,26.77163,1.4492648261300876,1.8337637791410089,6.222183443665588e+30
J1841-7845,280.18557166666665,56.68190333333333,86.0783599805992,23.81855263315132,0.3536025329,1.6e-16,1.4286755671387535e+32,41.0,2.459,-3.495602868497372e-05,2.3627434077285597e+31
J1846-7403,280.35791666666665,-78.75416666666666,315.4602909240691,-26.08175443856612,4.8788385261,6.06e-15,2.060074977799853e+30,97.0,25.0,5.676839217194356,3.296119964479765e+27
J1859+7654,281.55741666666665,-74.05111111111111,320.67442602305033,-25.650135933398083,1.393729135204375,5.0504503460255917e-17,7.364693983833359e+29,47.25,5.985,0.7334663819056004,2.0560155565280114e+28
J1900-7951,284.9000795833333,76.91545450000001,108.3638637104493,25.91076459008425,1.2791931935,1.86e-15,3.508037774980695e+31,39.0,2.375,0.19082244578748941,6.219235944564114e+30
J1907+57,285.10166666666663,-79.86338888888888,314.3219679444704,-27.06457498026085,0.424,0.0,0.0,54.63,6.706,1.1666343552060425,0.0
J1932-3655,286.75,57.0,87.4838083758557,20.458673101922027,0.5714205288348301,2.8626132959245784e-16,6.0569627738635955e+31,59.88,6.724,3.4784106716979295,1.3396751295190028e+30
J1933-6211,293.0255333333333,-36.917161111111106,2.071998022963247,-23.545724365069123,0.0035434314937909796,3.870734933256783e-21,3.4346385983183387e+33,11.52,0.65,10.420586074469611,8.12932212619725e+33
J1938+6604,293.3851111666666,-62.19635444444444,334.43093459723195,-28.631524969569984,0.022258801226037964,1.947135131839658e-20,6.970284680184514e+31,41.2427,3.38,-1.253979280591011e-05,6.101226042667024e+30
J1940-24,294.73715916666663,66.07547608333333,97.94566157391533,20.030503564841542,0.0982,0.0,0.0,53.4,3.905,-0.00013386039063334465,0.0
J1940-2403,295.0,-24.0,15.853850885900908,-20.882752310623214,1.855276,0.0,0.0,63.3,6.306,0.22069840203039348,0.0
J1941-2602,295.125,-24.05,15.848475591501058,-21.007290700745667,0.40285790887542816,9.561486027005336e-16,5.773370770282448e+32,50.036,3.564,3.9784020842052996,4.545211097666438e+31
J1942+8106,295.2516958333333,-26.034930555555558,13.901123870205831,-21.82376984632186,0.20355845286745913,3.687807892307629e-17,1.7260787342864954e+32,40.24,3.478,8.745118975639343e-07,1.4269259846799244e+31
